Date,State_Name,Vegetable_Name,Whole_Price,Retail_Price,Shopping_Mall_Price,units,Vegetable_Image
2024-05-20,MADHYA PRADESH,Green Chilli,60,69 - 76,72 - 99,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-20,MADHYA PRADESH,Beetroot,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-20,MADHYA PRADESH,Potato,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-20,MADHYA PRADESH,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-20,MADHYA PRADESH,Amaranth Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-20,MADHYA PRADESH,Amla,65,75 - 83,78 - 107,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-20,MADHYA PRADESH,Ash gourd,21,24 - 27,25 - 35,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-20,MADHYA PRADESH,Baby Corn,61,70 - 77,73 - 101,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-20,MADHYA PRADESH,Banana Flower,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-20,MADHYA PRADESH,Capsicum,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-20,MADHYA PRADESH,Bitter Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-20,MADHYA PRADESH,Bottle Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-20,MADHYA PRADESH,Butter Beans,53,61 - 67,64 - 87,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-20,MADHYA PRADESH,Broad Beans,69,79 - 88,83 - 114,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-20,MADHYA PRADESH,Cabbage,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-20,MADHYA PRADESH,Carrot,41,47 - 52,49 - 68,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-20,MADHYA PRADESH,Cauliflower,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-20,MADHYA PRADESH,Cluster beans,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-20,MADHYA PRADESH,Coconut,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-20,MADHYA PRADESH,Colocasia Leaves,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-20,MADHYA PRADESH,Colocasia,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-20,MADHYA PRADESH,Coriander Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-20,MADHYA PRADESH,Corn,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-20,MADHYA PRADESH,Cucumber,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-20,MADHYA PRADESH,Curry Leaves,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-20,MADHYA PRADESH,Dill Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-20,MADHYA PRADESH,Drumsticks,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
2024-05-20,MADHYA PRADESH,Brinjal,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-20,MADHYA PRADESH,Brinjal (Big),30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-20,MADHYA PRADESH,Elephant Yam,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-20,MADHYA PRADESH,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-20,MADHYA PRADESH,French Beans,180,207 - 229,216 - 297,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-20,MADHYA PRADESH,Garlic,275,316 - 349,330 - 454,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-20,MADHYA PRADESH,Ginger,132,152 - 168,158 - 218,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-20,MADHYA PRADESH,Onion Green,38,44 - 48,46 - 63,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-20,MADHYA PRADESH,Green Peas,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-20,MADHYA PRADESH,Ivy Gourd,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-20,MADHYA PRADESH,Lemon (Lime),99,114 - 126,119 - 163,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-20,MADHYA PRADESH,Mango Raw,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-20,MADHYA PRADESH,Mint Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
